Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,soil_type,Wilderness
2932,246,20,379,34,5608,176,251,209,5794,2,29,1
3148,19,13,531,67,1209,210,212,137,2512,1,32,3
3281,153,14,258,48,1907,237,240,130,1533,7,29,1
3073,189,7,532,-15,2671,221,246,160,960,1,23,3
2923,324,13,0,0,2040,187,226,179,2154,1,23,3
3039,9,6,564,59,1369,214,228,152,2513,2,29,1
2916,39,10,642,162,1482,221,218,131,990,2,32,3
2750,128,15,120,26,2724,244,229,110,2407,2,30,1
3193,81,5,60,-6,2467,226,231,140,1437,1,23,3
2887,227,27,764,125,4110,170,252,208,1477,2,13,3
3071,252,10,127,14,2998,197,247,188,1524,2,32,3
3004,30,9,335,22,5901,218,220,138,3664,2,29,1
2869,261,35,360,228,1668,115,233,242,1451,2,13,3
3139,164,15,180,-3,4455,232,244,138,981,1,30,1
2606,22,12,408,28,1535,212,214,137,1805,6,10,3
3159,58,6,162,30,2549,224,228,138,1902,1,29,1
2603,99,14,525,77,1060,242,221,106,3823,2,29,1
2444,171,27,182,60,190,227,240,126,842,3,2,3
2798,18,2,446,99,3058,217,234,154,6404,1,12,1
3342,51,18,424,108,1800,226,197,99,2090,1,40,1
2974,162,18,255,69,780,235,241,130,1806,2,33,3
3074,45,19,256,31,1087,221,194,99,2182,1,24,3
3058,100,10,60,-4,900,237,227,120,309,2,23,3
2962,4,13,95,7,4270,202,214,148,1999,2,30,1
3109,60,8,30,3,3747,226,224,132,108,1,23,3
3092,37,12,150,23,4343,219,213,127,2285,2,29,1
2643,30,4,150,0,1148,218,231,149,5941,2,12,1
3031,130,8,108,9,1054,234,236,133,836,2,32,3
2837,61,14,361,16,2683,231,210,108,3667,1,23,1
3078,12,9,60,7,1747,211,221,147,1786,2,29,1
2751,59,17,330,77,360,230,203,101,2274,5,29,1
2829,101,11,30,-4,1060,238,226,117,1293,2,23,3
3127,62,8,0,0,866,227,223,130,2058,1,23,1
2704,51,22,201,75,819,225,188,87,1124,2,33,3
3151,4,15,525,149,2379,199,209,146,2585,1,24,3
3168,144,18,679,-39,708,242,234,114,1988,2,33,3
3027,64,11,488,26,6538,230,217,118,2836,2,29,1
3299,127,7,120,3,3957,232,236,136,2285,1,38,1
2996,312,21,376,171,2763,159,219,198,658,2,33,3
3714,353,10,1072,268,5242,203,222,158,3410,7,40,3
3134,239,3,256,18,1889,214,241,165,2616,2,32,3
2983,50,7,319,16,4710,224,225,136,1577,1,19,1
2909,299,5,306,14,5559,206,238,171,6001,1,16,1
2718,283,18,0,0,2178,166,238,210,495,1,23,3
2838,228,24,67,19,1248,178,254,204,2568,5,33,3
3088,301,8,85,-3,1681,197,237,179,993,1,23,3
2857,133,9,108,3,2072,235,236,132,2631,2,26,3
2968,338,8,459,23,4342,202,228,165,5639,2,12,1
3029,216,7,127,-28,2230,213,247,170,949,2,31,3
3201,45,10,509,-6,3795,223,219,130,3918,1,29,1
2918,189,15,95,46,1273,219,250,160,768,2,33,3
2919,250,10,67,16,5002,198,248,188,1589,2,29,1
3425,206,11,570,32,3287,213,250,171,153,1,38,3
3034,0,9,564,0,6432,206,222,154,3772,2,29,1
3167,220,4,218,31,1082,215,243,165,604,1,32,3
3104,94,7,283,82,4817,231,230,132,285,2,29,1
2773,145,16,150,9,1020,240,236,120,779,3,2,3
3224,51,19,120,19,3037,226,197,98,4859,1,39,1
2831,317,24,67,27,5115,151,211,197,4630,2,29,1
2671,322,25,212,86,1172,149,207,193,2026,6,13,3
2854,35,16,201,39,1019,217,204,118,540,2,33,3
2716,322,18,95,32,1342,171,219,186,2202,2,29,1
3028,129,13,150,23,3169,241,232,118,603,1,29,1
2938,37,16,607,119,1328,218,203,117,2644,2,33,3
3083,232,10,503,66,1570,203,250,183,886,2,32,3
2759,176,29,212,93,2056,221,241,132,2254,3,4,3
3005,182,25,192,53,690,218,246,146,1606,2,33,3
2967,255,30,309,154,1489,136,242,234,342,2,13,3
2848,83,6,295,52,2522,228,230,137,3227,2,12,1
2926,27,12,525,101,2856,215,214,134,3296,2,29,1
3097,229,26,30,6,3421,173,253,207,725,2,33,3
2741,121,22,242,77,1633,251,215,80,1172,2,13,3
2894,60,19,258,81,3154,231,197,91,2083,2,33,3
2508,58,4,395,30,666,223,230,143,3644,5,18,1
3087,13,12,30,1,1167,208,216,143,990,1,23,3
3227,343,9,295,31,1445,202,227,163,2301,1,29,1
3109,47,8,90,-3,3949,223,223,134,2896,1,29,1
2725,103,20,134,21,300,249,210,80,513,5,30,1
3018,126,11,376,55,402,239,233,123,1348,1,22,1
2936,156,8,30,0,4578,229,241,145,4745,1,23,1
2861,54,17,400,110,1180,228,201,101,2663,2,33,3
3156,49,20,366,24,1316,223,191,93,2242,1,39,3
2808,6,9,162,17,3188,210,223,151,6216,2,29,1
2922,31,4,153,3,4150,219,230,148,5051,2,29,1
3180,130,14,524,142,446,243,231,114,1731,2,23,1
3056,133,9,180,8,3755,235,236,132,283,1,29,1
2818,39,3,30,0,2942,220,232,149,4488,2,20,1
3185,50,16,350,92,3933,225,204,108,2896,2,30,1
2574,112,10,60,-9,1423,238,229,121,1231,3,2,3
3254,99,6,301,63,3661,230,232,136,3120,1,40,1
2839,8,5,30,2,1396,214,230,153,2442,1,29,1
3018,59,8,591,178,5627,227,223,130,5114,1,12,1
3071,356,13,404,58,1273,199,217,155,2397,1,22,3
2607,40,22,120,7,598,215,185,94,1263,6,10,3
2970,39,13,30,14,4206,220,210,122,977,2,23,1
3252,94,7,60,-1,4302,231,230,132,2151,1,38,1
2859,5,14,134,46,1015,201,211,147,451,2,32,3
3103,249,6,60,-5,6239,207,244,175,2422,1,29,1
3348,218,18,417,142,3266,198,254,188,592,1,31,3
3192,171,17,42,8,1073,229,246,142,2597,1,22,1
2759,74,4,234,15,2640,225,231,142,1846,2,12,1
2855,196,20,390,98,1416,211,252,167,1489,2,33,3
2718,63,30,108,57,127,230,164,46,2042,5,30,1
2744,66,9,216,11,2713,229,221,124,5151,2,12,1
2724,153,1,255,38,2475,220,238,155,4987,2,12,1
2992,66,13,420,47,1812,232,213,110,3226,2,33,3
2870,45,3,335,62,3907,220,232,149,5449,2,12,1
2965,67,11,85,10,4802,231,218,119,1316,2,29,1
3764,343,13,939,318,5155,193,219,165,3264,7,40,3
2869,260,5,150,22,2673,207,243,174,2306,1,32,3
2948,56,5,127,-2,1328,224,228,140,2181,2,23,1
2623,27,12,60,2,955,215,214,134,1666,2,33,3
3127,26,22,190,52,1179,203,186,110,725,1,22,1
3061,87,5,551,-9,1611,227,231,138,1290,2,23,1
3155,108,6,379,21,4402,231,233,136,1979,2,29,1
2979,5,8,30,6,2460,210,225,152,2244,1,23,3
3221,131,17,162,12,1517,245,228,105,2482,1,30,1
2648,11,16,0,0,1398,201,205,139,1201,2,20,3
3280,151,32,720,59,1543,241,221,83,3350,1,29,1
2992,248,13,127,7,2016,192,249,194,1301,1,23,3
3274,158,15,480,72,2722,235,241,133,1172,2,33,3
3326,222,7,150,15,1115,211,247,173,1690,7,21,3
2879,326,23,108,19,4314,159,208,186,543,1,29,1
3244,11,10,598,96,5696,209,220,147,2619,2,29,1
2745,82,11,30,-5,1216,235,220,115,2028,1,13,3
2732,18,12,124,24,1074,211,215,139,2337,2,29,1
3418,76,10,691,139,2110,232,222,121,1593,1,35,1
2727,69,3,350,39,2227,223,233,145,5622,2,12,1
2803,86,16,30,9,735,242,211,95,1071,2,23,3
2962,70,17,424,136,418,236,205,94,566,1,33,3
3014,303,8,90,22,1129,198,236,178,1786,2,31,3
2575,31,27,240,48,631,202,172,93,703,2,33,3
3024,27,7,212,6,1187,218,225,144,1672,1,32,3
3191,123,16,297,86,1172,246,226,103,2244,1,29,1
2812,13,12,390,94,1865,208,215,142,953,5,11,3
2947,39,34,234,77,1772,199,145,56,2616,1,24,3
2866,353,17,467,88,824,189,208,156,808,2,31,3
3012,119,7,120,-2,1634,233,234,133,1230,1,23,1
3194,272,11,618,138,2946,191,243,191,134,1,32,3
2754,32,9,212,-12,242,218,221,138,987,5,30,1
3029,58,25,201,51,5100,229,180,70,2317,1,29,1
3263,157,2,90,8,871,221,239,154,2008,1,38,1
2781,210,9,60,5,1801,213,249,171,2325,2,26,3
2518,248,26,85,35,895,156,248,223,1460,2,28,3
2696,134,28,134,48,371,250,214,70,450,5,30,1
2985,20,7,190,13,4328,215,225,147,3967,1,29,1
3226,133,9,573,87,680,235,236,132,591,2,32,3
2574,22,14,218,-27,1430,210,208,132,1200,6,2,3
2901,151,10,319,49,3257,233,240,138,2544,2,12,1
3014,84,7,531,29,5394,231,227,129,5389,2,12,1
3380,37,5,67,2,2613,220,229,146,2362,7,39,1
3037,126,9,408,16,4160,235,234,130,3471,2,29,1
3008,315,3,30,1,2791,211,237,164,2168,1,23,3
2998,203,8,600,89,6125,216,247,166,5444,2,29,1
3216,273,21,272,62,4696,161,241,217,3427,1,29,1
3241,198,15,722,27,553,214,252,168,2620,2,23,3
3315,22,5,170,45,5983,217,229,149,518,1,38,1
3135,181,12,85,6,3215,224,248,0,1387,2,23,3
3144,237,11,666,36,5854,200,250,186,1337,2,29,1
2664,324,16,300,77,2167,178,221,182,1706,3,10,3
2698,30,4,474,81,845,218,231,149,872,2,12,1
3122,13,13,371,31,1615,207,214,142,2803,1,31,3
2864,349,11,376,15,2910,200,222,160,2821,2,12,1
3184,22,17,300,36,5467,207,201,126,2402,2,29,1
3309,206,12,240,30,3171,213,251,172,1454,1,32,3
2992,97,11,60,11,2191,238,224,116,1165,2,31,3
2760,37,10,153,27,2816,220,218,132,5332,2,12,1
2827,36,7,277,38,1670,220,225,141,2643,2,26,3
3149,70,17,192,60,1556,236,205,96,1465,2,29,1
2820,66,3,90,4,1074,222,233,147,192,1,23,3
2725,58,28,85,43,1583,227,170,58,1148,2,33,3
2965,131,21,335,62,3140,248,224,94,1476,2,12,1
2916,61,26,228,121,240,231,178,65,1224,2,29,1
2783,76,16,268,33,1710,238,208,96,1909,2,29,1
2863,104,6,256,43,2165,230,233,136,2874,2,30,1
3011,121,4,1020,85,5660,227,236,144,5943,2,29,1
2557,94,3,577,12,1019,224,234,145,1261,3,2,3
3415,315,19,973,277,4179,168,222,193,2553,7,40,3
3067,320,4,0,0,2002,209,236,165,1319,1,21,3
2758,80,21,295,65,2880,243,197,74,1296,3,2,3
3214,152,41,384,169,3722,232,204,59,2290,1,33,3
2798,6,6,532,55,3055,212,227,153,6487,2,12,1
3206,274,20,301,71,330,161,240,216,2616,2,31,3
2738,237,36,170,109,1579,134,243,226,1312,2,4,3
2743,61,9,30,2,2244,227,222,128,1440,2,12,1
3069,20,10,391,81,2259,214,220,142,2616,1,32,3
3261,179,12,810,47,577,225,247,153,2739,2,13,3
2757,111,19,212,29,1732,249,216,87,2490,2,12,1
3212,111,26,300,50,3827,253,201,58,518,1,33,3
3244,180,6,391,30,4671,222,244,156,750,2,29,1
2643,155,20,90,-3,800,239,237,119,1930,2,30,1
2799,225,7,30,3,1973,211,247,173,2281,2,26,3
3097,196,6,524,35,376,219,245,162,1535,2,23,3
2837,75,23,216,91,841,240,190,67,1266,2,13,3
2996,11,12,90,21,1194,207,214,144,666,1,24,3
3051,88,15,175,19,1209,241,214,99,2268,2,29,1
2855,82,9,306,58,2557,233,225,124,3112,2,12,1
3205,338,20,127,34,2592,172,207,171,2694,1,24,3
2634,214,7,351,208,2059,214,247,169,402,3,2,3
2975,81,6,134,20,4222,228,230,136,2054,2,30,1
3033,245,17,342,67,1279,183,251,204,543,2,32,3
2714,352,13,95,29,1505,198,218,158,3187,2,30,1
3286,109,18,531,104,3870,248,217,91,972,1,33,3
3239,70,20,216,24,1790,237,196,80,2436,1,39,1
3021,7,11,541,39,4174,207,218,148,4348,2,29,1
2743,11,11,201,24,2148,208,217,145,3918,2,12,1
3191,79,6,361,71,5165,228,229,135,2431,2,22,1
3080,229,5,603,81,5582,213,244,169,3543,1,29,1
3083,344,17,371,14,994,183,211,164,3265,2,24,3
2582,146,5,108,-9,1889,228,239,145,1924,3,11,3
3111,276,23,240,38,4701,152,237,222,3088,1,22,1
3085,264,12,706,253,713,191,245,194,1176,2,30,1
2983,194,8,577,-37,1385,219,247,162,1577,2,31,3
2580,69,3,360,10,2812,223,233,145,2782,1,11,3
2680,76,10,30,4,1471,233,220,118,3331,2,12,1
3023,22,5,85,-2,5199,217,229,149,2422,1,23,1
2596,118,15,60,10,1110,244,226,107,430,2,29,1
3143,349,15,30,9,3111,190,213,160,2256,1,31,3
3199,303,22,218,8,4030,152,223,208,1706,1,22,3
2788,29,16,242,27,2269,213,204,123,3550,2,12,1
3192,67,24,277,52,1116,236,184,66,1692,1,29,1
3259,342,21,319,52,4375,172,204,168,1154,1,39,3
2918,142,17,255,54,2743,242,234,115,1914,2,29,1
2931,340,6,0,0,3522,208,232,162,2659,2,23,1
2965,251,20,247,62,5193,172,249,212,1471,2,30,1
3241,80,22,201,8,1860,243,194,69,1492,2,29,1
2616,7,27,124,-4,1057,176,175,126,6417,1,29,1
2927,129,14,805,132,2903,242,231,116,1591,2,10,3
3105,192,7,459,-12,2308,220,246,161,1657,2,32,3
2896,34,7,0,0,4521,219,225,142,6181,2,20,1
2877,165,12,150,28,2907,230,244,143,2440,2,12,1
2838,6,7,426,54,1846,212,226,152,1266,2,11,3
3152,263,15,150,19,5676,181,246,203,2490,2,22,1
3104,328,23,124,30,4432,157,206,185,1129,1,22,1
2703,21,8,67,-3,2415,215,223,145,510,5,31,3
2929,40,8,335,91,579,221,223,137,524,2,24,3
3184,100,13,60,-13,2671,242,221,107,2807,1,29,1
2850,38,25,390,78,1684,211,178,90,1566,2,24,3
3024,281,21,543,-96,1952,158,237,216,1804,2,33,3
2580,174,33,300,-19,437,218,234,121,1087,3,4,3
2788,31,4,30,0,466,219,230,148,849,2,23,1
3515,158,27,120,-37,3221,237,232,106,1140,7,35,3
2879,114,8,30,-2,1797,235,232,129,1917,2,23,3
2990,315,2,162,14,1543,213,237,162,690,2,32,3
2893,126,22,218,92,228,250,220,86,1115,2,30,1
2738,23,10,426,60,2470,214,218,139,1749,2,32,3
3078,283,5,42,6,3007,206,240,173,1406,2,23,3
2845,38,5,95,19,2716,220,228,144,2665,2,29,1
3093,153,4,124,13,3210,225,240,150,5570,1,30,1
2905,107,14,85,15,3189,243,222,105,1905,2,30,1
2888,347,13,446,54,2040,194,218,162,1452,2,31,3
3289,4,16,1218,272,2128,198,208,146,1965,7,38,3
3300,174,18,376,61,4566,228,246,143,2532,1,33,3
2559,125,18,182,36,720,247,224,99,108,2,29,1
3143,9,33,285,61,2378,163,155,112,834,1,33,3
2681,133,15,60,0,2268,243,231,113,1973,2,30,1
2641,75,13,90,-19,1142,235,216,110,2089,2,29,1
2574,143,9,67,10,992,233,238,136,361,2,29,1
3314,207,20,390,155,2490,202,254,180,983,1,33,3
2445,75,32,218,86,616,239,164,31,658,2,10,3
2717,101,14,190,30,1895,243,220,104,3788,2,12,1
3217,18,4,218,18,5822,217,231,152,700,1,22,1
3253,31,18,323,104,4100,213,199,117,1917,1,39,3
3366,285,22,270,80,2163,155,234,217,2397,1,33,3
3301,13,17,30,0,2462,202,203,135,484,7,35,3
2900,34,20,0,0,532,213,193,109,1725,2,24,3
3035,69,3,0,0,3644,223,233,145,285,1,23,1
3132,3,13,228,78,3603,201,214,149,1535,1,31,3
2932,93,13,283,3,5626,240,220,108,4302,2,29,1
3082,286,12,564,166,3210,185,239,194,2147,1,31,3
3372,356,4,85,6,2647,214,233,157,2358,7,39,1
3117,129,15,283,102,560,243,230,112,1062,2,33,3
2977,220,22,170,46,2571,189,254,194,1318,2,13,3
2588,45,14,408,43,655,223,210,118,721,2,12,1
2819,321,10,366,64,1082,194,230,176,1071,2,28,3
3223,165,13,150,23,3104,231,244,142,300,1,32,3
3115,195,17,849,269,4417,215,252,166,1563,2,31,3
2769,327,20,297,75,1414,167,213,184,1354,2,24,3
2958,154,8,60,12,1567,230,241,143,192,2,32,3
3137,119,5,306,27,5301,228,235,141,566,1,29,1
3009,343,16,67,4,2083,187,215,166,3416,1,23,1
2938,91,16,503,159,860,243,214,97,1177,2,29,1
2827,21,29,228,96,1008,188,167,102,1095,1,33,3
2776,156,17,90,23,3172,237,240,126,2958,2,30,1
3013,134,17,330,66,2496,245,230,108,2765,2,33,3
3258,333,11,933,146,1732,196,226,170,684,1,24,3
3235,179,18,612,115,6062,224,248,149,3094,2,29,1
2552,144,13,124,14,1167,238,237,127,1243,3,4,3
2913,178,12,600,69,2624,225,247,152,1829,5,26,3
3101,10,4,242,5,5312,215,231,153,1231,1,29,1
2762,63,9,0,0,3829,228,222,127,1207,2,23,1
2910,47,12,331,21,2402,224,214,123,1405,1,24,3
2703,73,19,180,63,1159,239,199,83,942,2,13,3
2760,126,13,120,-22,722,241,231,117,2228,2,29,1
3124,45,7,42,0,3784,222,225,138,42,1,23,3
3313,9,16,700,195,3234,201,208,142,700,1,24,3
2967,181,14,454,46,1873,224,248,153,1987,2,32,3
2822,355,8,339,30,1719,207,225,157,1320,2,12,1
2681,14,7,361,34,942,213,225,149,1900,2,23,1
3663,113,21,979,408,2620,251,213,79,1110,1,40,1
3354,220,11,854,152,2888,208,250,178,1243,1,33,3
3284,359,12,85,10,2125,202,219,153,2750,7,39,1
3036,175,20,1173,177,3127,226,246,143,1273,2,33,3
3064,70,15,395,-104,916,235,210,102,825,1,29,1
2539,300,16,376,174,720,173,232,199,1403,3,11,3
3008,201,7,531,89,1936,217,246,164,2659,2,32,3
3049,326,5,201,25,3343,207,234,166,1626,2,29,1
3126,218,14,95,-21,1177,204,252,182,1535,2,29,1
3150,102,8,90,-15,4842,234,230,128,2193,1,29,1
3011,356,15,569,43,4221,195,212,154,2193,2,29,1
3121,349,22,277,30,3884,174,198,159,837,1,24,3
3443,321,18,1057,305,4247,171,219,187,2635,7,40,3
2779,270,3,175,34,2880,212,240,166,2075,2,12,1
3289,81,17,42,6,2280,241,207,90,2787,7,39,1
2798,113,14,85,7,3870,243,225,108,5430,2,30,1
3004,14,9,781,78,5532,212,222,147,6191,2,29,1
2707,15,7,408,76,1414,214,226,149,1608,2,12,1
3040,322,13,201,11,3205,186,226,180,866,1,32,3
3210,92,7,450,92,5072,231,229,131,2489,2,22,1
3138,323,16,661,97,914,177,221,183,1221,2,33,3
3240,135,5,30,0,5294,227,238,144,466,2,29,1
2711,39,6,360,-11,999,220,227,142,1215,2,23,1
2857,311,5,0,0,2537,206,236,169,408,1,23,3
3218,122,7,306,-11,4267,233,234,134,1082,1,29,1
2978,130,12,313,52,4953,240,233,121,6423,2,29,1
2828,347,9,153,21,1406,204,226,161,2001,6,31,3
3175,342,20,569,118,3750,176,207,168,1717,1,39,3
3001,74,14,319,51,4970,236,213,106,4394,1,29,1
3187,45,3,510,92,5126,220,233,150,2160,1,19,1
3089,40,24,360,124,4948,215,181,90,2413,1,29,1
2583,137,12,0,0,510,238,235,126,1243,2,20,1
2873,88,8,42,-3,4186,232,227,128,6145,2,29,1
3155,131,14,382,88,3113,242,231,115,3159,1,30,1
3086,163,5,150,-6,3799,225,241,151,1110,1,29,1
3209,295,5,242,25,450,206,238,172,1411,1,32,3
2743,70,8,300,27,1690,229,225,129,2288,2,12,1
2718,346,14,85,17,2148,191,217,163,6347,2,29,1
3186,67,21,384,31,5302,236,194,81,2656,2,29,1
2679,49,13,488,31,577,225,211,117,1905,2,29,1
3000,81,10,85,8,2787,233,223,121,1888,1,33,3
3151,120,15,408,113,335,245,226,105,1632,2,23,1
3008,0,9,60,0,3791,206,222,154,5421,1,29,1
3126,97,8,300,10,2083,233,229,129,2652,2,32,3
3060,24,24,120,12,2554,199,181,108,4184,1,29,1
2409,64,6,300,9,484,226,228,136,789,3,2,3
2888,138,26,201,5,335,248,221,84,1589,2,30,1
2941,81,15,108,-23,335,239,212,99,1215,2,30,1
2962,344,11,532,135,4952,198,223,164,5243,1,12,1
2848,19,9,30,2,2697,214,222,144,2493,2,23,1
3073,196,19,551,257,1549,212,252,167,376,2,13,3
2913,310,23,153,45,1061,152,218,203,811,2,33,3
2960,296,9,819,-74,1409,194,238,183,1914,2,31,3
2980,40,21,67,32,330,216,188,98,1533,2,33,3
3213,94,11,0,0,4388,237,224,117,1994,1,23,1
2873,271,13,67,3,1221,186,244,197,2126,2,4,3
3235,67,6,127,21,2478,227,228,135,2826,1,29,1
3108,99,19,300,92,3302,247,210,84,2051,1,33,3
3046,5,22,335,-13,1116,185,190,136,2131,1,33,3
2600,87,8,201,49,1140,232,227,127,408,2,29,1
3106,48,31,30,17,3900,214,156,55,883,1,30,1
3031,315,2,807,187,5654,213,237,162,5301,1,12,1
2975,58,9,42,0,1495,227,222,129,1489,1,33,3
2728,318,21,124,27,997,162,217,193,2265,2,33,3
3024,278,8,342,16,2832,197,242,184,283,1,22,1
2618,315,4,330,66,1221,210,236,165,1294,2,11,3
3253,0,10,677,177,864,205,221,153,2074,2,33,3
2969,51,9,0,0,4395,225,220,128,216,1,29,1
3176,149,15,42,0,1433,239,238,124,2437,2,30,1
2822,22,20,331,88,120,202,192,120,875,2,11,3
3124,39,3,150,12,3987,220,232,149,1655,2,23,1
3083,104,22,150,16,1452,251,206,72,1380,1,29,1
2768,120,16,330,91,1848,246,225,103,2192,2,10,3
2833,92,7,295,45,2556,232,229,129,1537,2,29,1
2733,25,10,216,42,1784,215,219,139,3576,2,12,1
2895,346,2,150,4,1798,215,235,158,1448,5,32,3
3022,121,15,124,-6,999,244,227,107,2839,1,33,3
2950,98,18,60,-8,2526,246,213,89,1749,1,22,3
3079,25,11,90,3,1265,215,216,137,882,1,22,1
2584,81,5,60,-2,566,226,231,140,5730,2,29,1
3346,74,34,85,31,2040,237,157,0,876,7,39,3
3000,2,17,295,58,516,194,206,147,1415,2,32,3
2991,351,12,564,164,5058,198,219,159,5289,2,24,1
3233,119,20,201,66,2646,250,218,86,3031,1,33,3
2896,37,14,212,39,4052,219,207,121,5968,2,12,1
2952,39,12,30,-2,4450,220,213,126,5341,2,20,1
3071,207,13,60,11,1812,210,252,174,331,2,23,3
3157,283,20,339,78,3263,161,236,213,1706,2,31,3
3117,0,15,351,44,3678,197,211,150,858,1,29,1
3045,308,21,120,31,180,159,222,202,845,2,22,1
2902,344,18,216,79,234,182,210,165,1492,1,30,1
2571,335,28,210,120,716,145,190,177,1075,2,33,3
2919,256,9,313,13,5716,199,246,185,2397,2,30,1
3049,308,14,90,22,1103,180,230,190,1530,2,23,3
2980,58,9,216,15,4959,227,221,127,2663,1,29,1
3159,324,12,30,8,2873,188,226,178,987,1,23,3
2962,135,7,420,135,4948,231,237,138,5081,1,12,1
2925,53,29,212,58,1680,222,164,57,2718,1,24,3
2952,88,11,256,64,1879,237,221,114,1181,2,29,1
2680,80,4,150,5,192,225,232,142,1209,2,11,3
2835,226,27,108,45,3195,173,253,206,1514,2,4,3
3063,17,10,618,204,1756,212,219,144,3164,1,31,3
3378,249,19,228,68,3762,175,250,210,904,1,39,1
2955,81,10,417,-3,4633,233,223,121,5272,2,12,1
2919,243,3,0,0,5070,213,242,166,3505,1,16,1
3202,301,14,67,21,2694,181,233,192,1230,1,23,3
3053,102,22,180,47,5015,250,205,71,2781,2,29,1
2539,355,10,0,0,902,204,222,157,5133,2,16,1
2822,303,5,0,0,2482,206,237,170,2254,1,20,3
2938,20,13,485,61,497,210,211,136,1006,1,31,3
3307,5,8,42,5,1936,210,225,152,942,7,39,3
2580,343,40,301,143,702,113,149,155,1342,2,33,3
2853,59,18,371,96,1209,231,200,96,2646,2,33,3
2719,44,14,0,0,1377,222,209,118,1557,2,20,3
2901,54,10,404,-2,3971,226,218,124,3664,2,23,1
3230,289,12,240,51,4585,186,238,193,3302,1,29,1
2937,314,19,738,221,408,164,221,195,1595,2,4,3
3024,26,7,201,14,1050,217,225,144,2473,2,29,1
2865,18,14,335,31,1954,208,210,136,1566,2,31,3
2891,319,20,120,56,693,163,217,192,1872,2,24,3
2658,160,16,120,8,973,235,242,132,1532,2,4,3
3207,26,19,870,396,1465,208,195,117,900,1,33,3
2629,38,5,277,17,882,220,228,144,900,2,12,1
2988,27,3,216,36,4694,218,232,151,5773,2,12,1
3174,74,18,300,19,5248,239,203,89,2732,2,29,1
2840,32,13,277,42,1922,216,211,128,1563,2,23,1
3367,96,6,577,133,1834,231,231,133,1974,1,38,1
2692,347,17,190,69,2524,185,210,161,1299,2,10,3
2964,66,13,234,24,2045,232,214,111,595,1,32,3
3272,62,16,516,38,1440,232,207,103,2278,1,39,1
3157,68,3,466,57,5506,222,234,148,503,1,20,1
2900,3,41,306,109,1357,134,130,108,2490,2,33,3
2903,41,5,90,0,4765,220,229,145,1504,2,30,1
2738,318,7,242,51,2096,201,234,172,2058,2,29,1
3095,45,2,242,24,1641,219,235,152,1575,1,29,1
3249,24,16,531,104,2334,210,204,127,2466,1,24,3
3296,322,16,295,68,3982,178,222,184,1321,1,39,1
2772,106,9,175,8,1984,235,229,125,1199,2,12,1
3150,313,22,170,48,1243,155,217,200,2191,1,29,1
3008,94,13,42,4,4077,240,220,107,3945,1,29,1
2894,17,10,365,25,2067,212,219,144,1739,2,31,3
3043,37,14,335,55,1140,219,207,121,1180,2,33,3
2935,328,21,85,22,1008,166,212,183,2176,1,29,1
3083,32,15,95,3,3814,216,205,122,3883,1,29,1
2991,54,13,495,65,4849,227,211,115,6214,2,12,1
2497,214,21,42,13,907,195,254,188,774,3,4,3
2713,176,27,210,-42,2846,222,242,134,1732,2,13,3
3124,66,14,42,3,2697,233,211,108,1341,1,23,3
3109,207,9,558,68,510,214,248,169,1663,2,23,3
2999,290,11,162,28,2800,189,239,190,752,2,33,3
3018,259,7,774,109,5856,203,244,180,3396,2,20,1
2991,62,11,418,16,3215,230,217,119,5924,1,29,1
2943,218,15,95,9,1380,202,253,184,1543,2,32,3
2890,165,17,351,142,1800,233,243,135,1008,2,13,3
2982,256,9,421,73,6091,199,246,185,5285,2,29,1
3162,158,8,60,-9,3499,229,242,145,4723,1,29,1
2914,351,8,85,-4,914,206,227,159,684,2,31,3
3158,13,8,42,5,1323,213,225,149,361,1,23,3
2758,335,4,42,0,1834,211,234,162,1127,2,29,1
2761,315,5,319,66,1785,206,235,169,2359,6,10,3
2982,143,9,513,86,5558,233,238,136,4372,2,29,1
3229,103,15,120,-19,1524,244,219,100,2659,1,22,1
3009,227,10,60,17,1226,205,250,181,1910,1,32,3
2944,94,21,382,-59,537,248,203,74,1948,5,29,1
2775,316,18,108,25,2228,170,222,191,725,2,31,3
2899,47,9,0,0,1400,223,220,131,1509,2,29,1
2676,311,23,361,87,949,151,217,202,1184,2,33,3
3415,240,30,402,160,3360,149,248,224,671,1,39,1
3175,62,8,335,62,3673,227,223,130,3316,1,29,1
3106,143,26,210,44,2374,246,224,90,1565,1,27,3
2569,207,17,175,30,1317,207,253,177,1989,3,4,3
3172,95,10,474,134,418,237,225,118,1574,2,22,1
2725,69,15,153,38,1634,235,208,100,469,2,29,1
2917,67,20,190,-49,417,236,196,84,295,1,22,1
2861,135,13,391,101,2556,240,234,122,876,2,4,3
3443,21,8,331,104,1765,215,223,145,1168,7,40,3
3369,66,22,738,35,3180,235,191,77,1024,1,39,3
3119,345,12,642,102,1503,196,221,163,2283,1,32,3
3333,170,16,524,127,1476,230,245,142,1846,1,33,3
3030,97,4,234,37,1019,226,234,143,1714,1,22,3
3268,199,23,283,112,2376,205,252,171,1142,1,33,3
3060,85,11,234,39,3865,236,221,114,2760,1,29,1
2719,196,12,212,32,1531,217,250,166,3847,2,12,1
